num,startBy,start_row,strart_row_op,start_location,endBy,end_row,end_row_op,end_location,have_con_branch?,next1,next1_location,num_of_asm_rows,long,rows_to_mul,size,enrances
1,sha_transform,1,1,26,.LPIC0,7,8,139,False,2,139,6,1,7,112,0,
2,.LPIC0,7,8,139,b->.L2,16,20,319,False,4,635,9,3,12,192,1,
3,.L3,16,20,319,,25,32,478,False,3.1,478,9,6,12,192,1,
4,.L2,33,43,635,ble->.L3,37,48,719,True,3,319,4,1,5,80,2,
5,ble->.L3,37,48,719,b->.L4,41,53,802,False,7,1451,4,1,5,80,1,
6,.L5,41,53,802,,49,67,964,False,6.1,964,8,21,14,224,1,
7,.L4,73,106,1451,ble->.L5,77,111,1535,True,6,802,4,1,5,80,2,
8,ble->.L5,77,111,1535,,87,123,1725,False,8.1,1725,10,6,12,192,1,
9,.L7,106,146,2096,,117,162,2304,False,9.1,2304,11,24,16,256,1,
10,.L6,161,225,3132,ble->.L7,165,230,3218,True,9,2096,4,1,5,80,2,
11,ble->.L7,165,230,3218,b->.L8,169,235,3303,False,13,4272,4,1,5,80,1,
12,.L9,169,235,3303,,179,250,3497,False,12.1,3497,10,23,15,240,1,
13,.L8,220,309,4272,ble->.L9,224,314,4358,True,12,3303,4,1,5,80,2,
14,ble->.L9,224,314,4358,b->.L10,228,319,4443,False,16,5518,4,1,5,80,1,
15,.L11,228,319,4443,,237,333,4618,False,15.1,4618,9,25,14,224,1,
16,.L10,285,401,5518,ble->.L11,289,406,5604,True,15,4443,4,1,5,80,2,
17,ble->.L11,289,406,5604,b->.L12,293,411,5689,False,19,6658,4,1,5,80,1,
18,.L13,293,411,5689,,303,426,5883,False,18.1,5883,10,23,15,240,1,
19,.L12,344,485,6658,ble->.L13,348,490,6744,True,18,5689,4,1,5,80,2,
20,ble->.L13,348,490,6744,,361,505,6984,True,20.1,6984,13,5,15,240,1,
21,beq->.L14,400,547,7568,.L14,401,548,7568,False,22,7568,1,0,1,16,1,
22,.L14,401,548,7568,.L16,404,551,7568,False,end,7324,3,0,3,48,2,
23,byte_reverse,404,551,7568,.LPIC1,410,557,7568,False,24,7568,6,0,6,96,0,
24,.LPIC1,410,557,7568,b->.L18,423,570,7568,False,26,7568,13,0,13,208,1,
25,.L19,423,570,7568,,436,583,7568,False,25.1,7568,13,0,13,208,1,
26,.L18,448,595,7568,blt->.L19,452,599,7568,True,25,7568,4,0,4,64,2,
27,blt->.L19,452,599,7568,beq->.L20,459,606,7568,True,29,7568,7,0,7,112,1,
28,beq->.L20,459,606,7568,.L20,460,607,7568,False,29,7568,1,0,1,16,1,
29,.L20,460,607,7568,.L22,463,610,7568,False,end,9038,3,0,3,48,2,
30,sha_init,463,610,7568,,475,622,7568,False,30.1,7568,12,0,12,192,0,
31,sha_update,498,645,7568,bcs->.L25,513,660,7568,True,33,7568,15,0,15,240,0,
32,bcs->.L25,513,660,7568,.L25,518,665,7568,False,33,7568,5,0,5,80,1,
33,.L25,518,665,7568,b->.L26,533,680,7568,False,38,7568,15,0,15,240,2,
34,.L27,533,680,7568,bl->memcpy(PLT),539,686,7568,False,end,end\error,6,0,6,96,1,
40,bl->memcpy(PLT),561,686,7568,sha_final,565,690,7568,False,41,7568,4,0,4,64,0,
49,bl->byte_reverse(PLT),627,690,7568,bl->sha_transform(PLT),635,698,7568,False,end,end\error,8,0,8,128,0,
50,bl->sha_transform(PLT),635,698,7568,sha_stream,639,702,7568,False,51,7568,4,0,4,64,0,
38,.L26,552,702,7568,bgt->.L27,555,705,7568,True,34,7568,3,0,3,48,1,
39,bgt->.L27,555,705,7568,bl->memcpy(PLT),561,711,7568,False,end,end\error,6,0,6,96,1,
41,sha_final,565,711,7568,,578,724,7568,True,41.1,7568,13,0,13,208,1,
42,ble->.L29,590,736,7568,bl->memset(PLT),599,745,7568,False,end,end\error,9,0,9,144,1,
47,.L29,613,745,7568,bl->memset(PLT),622,754,7568,False,end,end\error,9,0,9,144,1,
48,.L30,622,754,7568,bl->byte_reverse(PLT),627,759,7568,False,end,end\error,5,0,5,80,0,
51,sha_stream,639,759,7568,.LPIC2,650,770,7568,False,52,7568,11,0,11,176,1,
52,.LPIC2,650,770,7568,bl->sha_init(PLT),661,781,7568,False,end,end\error,11,0,11,176,1,
53,bl->sha_init(PLT),661,781,7568,b->.L32,662,782,7568,False,55,7568,1,0,1,16,0,
54,.L33,662,782,7568,bl->sha_update(PLT),671,791,7568,False,end,end\error,9,0,9,144,1,
55,.L32,671,791,7568,bl->fread(PLT),679,799,7568,False,end,end\error,8,0,8,128,1,
56,bl->fread(PLT),679,799,7568,bgt->.L33,688,808,7568,True,54,7568,9,0,9,144,0,
57,bgt->.L33,688,808,7568,bl->sha_final(PLT),692,812,7568,False,end,end\error,4,0,4,64,1,
58,bl->sha_final(PLT),692,812,7568,beq->.L34,701,821,7568,True,60,7568,9,0,9,144,0,
59,beq->.L34,701,821,7568,.L34,702,822,7568,False,60,7568,1,0,1,16,1,
60,.L34,702,822,7568,.L36,706,826,7568,False,end,14513,4,0,4,64,2,
61,sha_print,706,826,7568,,716,836,7568,False,61.1,7568,10,0,10,160,0,
62,.LPIC3,725,845,7568,.L39,731,851,7568,False,end,15397,6,0,6,96,1,
3.1, ,25,32,478,.L2,33,43,635,False,4,635,8,0,11,176,1,
6.1, ,49,67,964, ,58,81,1148,False,6.199999999999999,1148,9,0,14,224,1,
6.199999999999999, ,58,81,1148, ,65,95,1294,False,6.299999999999999,1294,7,0,14,224,1,
6.299999999999999, ,65,95,1294,.L4,73,106,1451,False,7,1451,8,0,11,176,1,
8.1, ,87,123,1725, ,97,135,1916,False,8.2,1916,10,0,12,192,1,
8.2, ,97,135,1916,b->.L6,106,146,2096,False,10,3132,9,0,11,176,1,
9.1, ,117,162,2304, ,128,178,2494,False,9.2,2494,11,0,16,256,1,
9.2, ,128,178,2494, ,140,194,2727,False,9.299999999999999,2727,12,0,16,256,1,
9.299999999999999, ,140,194,2727, ,150,210,2926,False,9.399999999999999,2926,10,0,16,256,1,
9.399999999999999, ,150,210,2926,.L6,161,225,3132,False,10,3132,11,0,15,240,1,
12.1, ,179,250,3497, ,189,265,3681,False,12.2,3681,10,0,15,240,1,
12.2, ,189,265,3681, ,200,280,3887,False,12.299999999999999,3887,11,0,15,240,1,
12.299999999999999, ,200,280,3887, ,210,295,4085,False,12.399999999999999,4085,10,0,15,240,1,
12.399999999999999, ,210,295,4085,.L8,220,309,4272,False,13,4272,10,0,14,224,1,
15.1, ,237,333,4618, ,248,347,4809,False,15.2,4809,11,0,14,224,1,
15.2, ,248,347,4809, ,258,361,4996,False,15.299999999999999,4996,10,0,14,224,1,
15.299999999999999, ,258,361,4996, ,267,375,5171,False,15.399999999999999,5171,9,0,14,224,1,
15.399999999999999, ,267,375,5171, ,276,389,5350,False,15.499999999999998,5350,9,0,14,224,1,
15.499999999999998, ,276,389,5350,.L10,285,401,5518,False,16,5518,9,0,12,192,1,
18.1, ,303,426,5883, ,313,441,6067,False,18.200000000000003,6067,10,0,15,240,1,
18.200000000000003, ,313,441,6067, ,324,456,6273,False,18.300000000000004,6273,11,0,15,240,1,
18.300000000000004, ,324,456,6273, ,334,471,6471,False,18.400000000000006,6471,10,0,15,240,1,
18.400000000000006, ,334,471,6471,.L12,344,485,6658,False,19,6658,10,0,14,224,1,
20.1, ,361,505,6984, ,375,520,7236,False,20.200000000000003,7236,14,0,15,240,1,
20.200000000000003, ,375,520,7236, ,388,535,7479,False,20.300000000000004,7479,13,0,15,240,1,
20.300000000000004, ,388,535,7479,beq->.L14,400,547,7568,False,22,7568,12,0,12,192,1,
25.1, ,436,583,7568,.L18,448,595,7568,False,26,7568,12,0,12,192,1,
30.1, ,475,622,7568, ,487,634,7568,False,30.200000000000003,7568,12,0,12,192,1,
30.200000000000003, ,487,634,7568,bx->lr,498,645,7568,False,end,end\error,11,0,11,176,1,
41.1, ,578,724,7568,ble->.L29,590,736,7568,False,47,7568,12,0,12,192,1,
61.1, ,716,836,7568,.LPIC3,725,845,7568,False,62,7568,9,0,9,144,1,
num,startBy,start_row,strart_row_op,start_location,endBy,end_row,end_row_op,end_location,have_con_branch?,next1,next1_location,num_of_asm_rows,long,rows_to_mul,size,enrances
1,sha_transform,1,1,26,.LPIC0,7,8,139,False,2,139,6,1,7,112,0,
2,.LPIC0,7,8,139,b->.L2,16,20,319,False,4,635,9,3,12,192,1,
3,.L3,16,20,319,,25,32,478,False,3.1,478,9,6,12,192,1,
4,.L2,33,43,635,ble->.L3,37,48,719,True,3,319,4,1,5,80,2,
5,ble->.L3,37,48,719,b->.L4,41,53,802,False,7,1451,4,1,5,80,1,
6,.L5,41,53,802,,49,67,964,False,6.1,964,8,21,14,224,1,
7,.L4,73,106,1451,ble->.L5,77,111,1535,True,6,802,4,1,5,80,2,
8,ble->.L5,77,111,1535,,87,123,1725,False,8.1,1725,10,6,12,192,1,
9,.L7,106,146,2096,,117,162,2304,False,9.1,2304,11,24,16,256,1,
10,.L6,161,225,3132,ble->.L7,165,230,3218,True,9,2096,4,1,5,80,2,
11,ble->.L7,165,230,3218,b->.L8,169,235,3303,False,13,4272,4,1,5,80,1,
12,.L9,169,235,3303,,179,250,3497,False,12.1,3497,10,23,15,240,1,
13,.L8,220,309,4272,ble->.L9,224,314,4358,True,12,3303,4,1,5,80,2,
14,ble->.L9,224,314,4358,b->.L10,228,319,4443,False,16,5518,4,1,5,80,1,
15,.L11,228,319,4443,,237,333,4618,False,15.1,4618,9,25,14,224,1,
16,.L10,285,401,5518,ble->.L11,289,406,5604,True,15,4443,4,1,5,80,2,
17,ble->.L11,289,406,5604,b->.L12,293,411,5689,False,19,6658,4,1,5,80,1,
18,.L13,293,411,5689,,303,426,5883,False,18.1,5883,10,23,15,240,1,
19,.L12,344,485,6658,ble->.L13,348,490,6744,True,18,5689,4,1,5,80,2,
20,ble->.L13,348,490,6744,,361,505,6984,True,20.1,6984,13,6,15,240,1,
21,beq->.L14,400,548,7707,.L14,401,549,7720,False,22,7720,1,0,1,16,1,
22,.L14,401,549,7720,.L16,404,553,7782,False,end,7324,3,1,4,64,2,
23,byte_reverse,404,553,7782,.LPIC1,410,561,7905,False,24,7905,6,2,8,128,0,
24,.LPIC1,410,561,7905,,418,571,8046,False,24.1,8046,8,6,10,160,1,
25,.L19,423,580,8151,,433,592,8340,False,25.1,8340,10,11,12,192,1,
26,.L18,448,616,8653,blt->.L19,452,623,8735,True,25,8151,4,3,7,112,2,
27,blt->.L19,452,623,8735,beq->.L20,459,636,8881,True,29,8900,7,6,13,208,1,
28,beq->.L20,459,636,8881,.L20,460,637,8900,False,29,8900,1,0,1,16,1,
29,.L20,460,637,8900,.L22,463,643,8967,False,end,9038,3,3,6,96,2,
30,sha_init,463,643,8967,,475,657,9198,False,30.1,9198,12,7,14,224,0,
31,sha_update,498,685,9632,,505,696,9786,True,31.1,9786,7,6,11,176,0,
32,bcs->.L25,513,706,9925,.L25,518,712,10004,False,33,10004,5,1,6,96,1,
33,.L25,518,712,10004,,525,723,10147,False,33.1,10147,7,7,11,176,2,
34,.L27,533,734,10295,bl->memcpy(PLT),539,743,10412,False,end,end\error,6,3,9,144,1,
40,bl->memcpy(PLT),561,743,10412,sha_final,565,750,10494,False,41,10910,4,3,7,112,0,
49,bl->byte_reverse(PLT),627,750,10494,bl->sha_transform(PLT),635,762,10648,False,end,end\error,8,4,12,192,0,
50,bl->sha_transform(PLT),635,762,10648,sha_stream,639,767,10719,False,51,11821,4,1,5,80,0,
38,.L26,552,767,10719,bgt->.L27,555,770,10786,True,34,10295,3,0,3,48,1,
39,bgt->.L27,555,770,10786,bl->memcpy(PLT),561,778,10910,False,end,end\error,6,2,8,128,1,
41,sha_final,565,778,10910,,573,790,11065,True,41.1,11065,8,11,12,192,1,
42,ble->.L29,590,814,11377,bl->memset(PLT),599,827,11552,False,end,end\error,9,4,13,208,1,
47,.L29,613,827,11552,bl->memset(PLT),622,841,11731,False,end,end\error,9,5,14,224,1,
48,.L30,622,841,11731,bl->byte_reverse(PLT),627,848,11821,False,end,end\error,5,2,7,112,0,
51,sha_stream,639,848,11821,.LPIC2,650,862,12050,False,52,12050,11,3,14,224,1,
52,.LPIC2,650,862,12050,,656,871,12166,False,52.1,12166,6,6,9,144,1,
53,bl->sha_init(PLT),661,879,12259,b->.L32,662,880,12278,False,55,12429,1,0,1,16,0,
54,.L33,662,880,12278,bl->sha_update(PLT),671,892,12429,False,end,end\error,9,3,12,192,1,
55,.L32,671,892,12429,bl->fread(PLT),679,902,12583,False,end,end\error,8,2,10,160,1,
56,bl->fread(PLT),679,902,12583,bgt->.L33,688,916,12759,True,54,12278,9,5,14,224,0,
57,bgt->.L33,688,916,12759,bl->sha_final(PLT),692,922,12840,False,end,end\error,4,2,6,96,1,
58,bl->sha_final(PLT),692,922,12840,beq->.L34,701,936,13015,True,60,13034,9,5,14,224,0,
59,beq->.L34,701,936,13015,.L34,702,938,13034,False,60,13034,1,1,2,32,1,
60,.L34,702,938,13034,.L36,706,943,13105,False,end,14513,4,1,5,80,2,
61,sha_print,706,943,13105,,716,956,13320,False,61.1,13320,10,6,13,208,0,
62,.LPIC3,725,968,13478,.L39,731,977,13588,False,end,15397,6,3,9,144,1,
3.1, ,25,32,478,.L2,33,43,635,False,4,635,8,0,11,176,1,
6.1, ,49,67,964, ,58,81,1148,False,6.199999999999999,1148,9,0,14,224,1,
6.199999999999999, ,58,81,1148, ,65,95,1294,False,6.299999999999999,1294,7,0,14,224,1,
6.299999999999999, ,65,95,1294,.L4,73,106,1451,False,7,1451,8,0,11,176,1,
8.1, ,87,123,1725, ,97,135,1916,False,8.2,1916,10,0,12,192,1,
8.2, ,97,135,1916,b->.L6,106,146,2096,False,10,3132,9,0,11,176,1,
9.1, ,117,162,2304, ,128,178,2494,False,9.2,2494,11,0,16,256,1,
9.2, ,128,178,2494, ,140,194,2727,False,9.299999999999999,2727,12,0,16,256,1,
9.299999999999999, ,140,194,2727, ,150,210,2926,False,9.399999999999999,2926,10,0,16,256,1,
9.399999999999999, ,150,210,2926,.L6,161,225,3132,False,10,3132,11,0,15,240,1,
12.1, ,179,250,3497, ,189,265,3681,False,12.2,3681,10,0,15,240,1,
12.2, ,189,265,3681, ,200,280,3887,False,12.299999999999999,3887,11,0,15,240,1,
12.299999999999999, ,200,280,3887, ,210,295,4085,False,12.399999999999999,4085,10,0,15,240,1,
12.399999999999999, ,210,295,4085,.L8,220,309,4272,False,13,4272,10,0,14,224,1,
15.1, ,237,333,4618, ,248,347,4809,False,15.2,4809,11,0,14,224,1,
15.2, ,248,347,4809, ,258,361,4996,False,15.299999999999999,4996,10,0,14,224,1,
15.299999999999999, ,258,361,4996, ,267,375,5171,False,15.399999999999999,5171,9,0,14,224,1,
15.399999999999999, ,267,375,5171, ,276,389,5350,False,15.499999999999998,5350,9,0,14,224,1,
15.499999999999998, ,276,389,5350,.L10,285,401,5518,False,16,5518,9,0,12,192,1,
18.1, ,303,426,5883, ,313,441,6067,False,18.200000000000003,6067,10,0,15,240,1,
18.200000000000003, ,313,441,6067, ,324,456,6273,False,18.300000000000004,6273,11,0,15,240,1,
18.300000000000004, ,324,456,6273, ,334,471,6471,False,18.400000000000006,6471,10,0,15,240,1,
18.400000000000006, ,334,471,6471,.L12,344,485,6658,False,19,6658,10,0,14,224,1,
20.1, ,361,505,6984, ,375,520,7236,False,20.200000000000003,7236,14,0,15,240,1,
20.200000000000003, ,375,520,7236, ,388,535,7479,False,20.300000000000004,7479,13,0,15,240,1,
20.300000000000004, ,388,535,7479,beq->.L14,400,548,7707,False,22,7720,12,0,13,208,1,
24.1, ,418,571,8046,b->.L18,423,580,8151,False,26,8653,5,0,9,144,1,
25.1, ,433,592,8340, ,441,604,8513,False,25.200000000000003,8513,8,0,12,192,1,
25.200000000000003, ,441,604,8513,.L18,448,616,8653,False,26,8653,7,0,12,192,1,
30.1, ,475,657,9198, ,486,671,9408,False,30.200000000000003,9408,11,0,14,224,1,
30.200000000000003, ,486,671,9408,bx->lr,498,685,9632,False,end,end\error,12,0,14,224,1,
31.1, ,505,696,9786,bcs->.L25,513,706,9925,False,33,10004,8,0,10,160,1,
33.1, ,525,723,10147,b->.L26,533,734,10295,False,38,10719,8,0,11,176,1,
41.1, ,573,790,11065, ,581,802,11202,False,41.2,11202,8,0,12,192,1,
41.2, ,581,802,11202,ble->.L29,590,814,11377,False,47,11552,9,0,12,192,1,
52.1, ,656,871,12166,bl->sha_init(PLT),661,879,12259,False,end,end\error,5,0,8,128,1,
61.1, ,716,956,13320,.LPIC3,725,968,13478,False,62,13478,9,0,12,192,1,
num,startBy,start_row,strart_row_op,start_location,endBy,end_row,end_row_op,end_location,have_con_branch?,next1,next1_location,num_of_asm_rows,long,rows_to_mul,size,enrances
1,sha_transform,1,1,26,.LPIC0,7,8,139,False,2,139,6,1,7,112,0,
